id,center,image_date,image_value
0,"[-12.17503067677975, 9.66687598974862]",20140101,-0.0382348162459238
1,"[-11.262036573388308, 8.160969908434629]",20140101,0.0404574650281386
2,"[-11.13137723485804, 8.06372341512419]",20140101,-0.0123780488470489
3,"[-12.94397360098245, 8.90835597442643]",20140101,-0.0568107251022707
4,"[-10.642673837548983, 8.5399568621107]",20140101,-0.0342645080828993
5,"[-11.278165370305556, 9.64038943419362]",20140101,0.7870140310563107
6,"[-12.910582282004743, 8.649886836498862]",20140101,-0.0278064480736614
7,"[-12.238503609450673, 9.203949589682702]",20140101,-0.0177335524655976
8,"[-12.039093376256593, 9.174868219782105]",20140101,-0.0483821554573145
9,"[-12.78662938465795, 8.321523638067092]",20140101,-0.0042197450567278
10,"[-11.171437683447222, 9.078336637619136]",20140101,-0.0243122733253651
11,"[-11.63843715987665, 7.800436861244343]",20140101,0.0145483689555374
12,"[-12.392492309119397, 8.054702066760422]",20140101,0.0071160205987876
13,"[-12.608906049077698, 8.486851426971757]",20140101,0.0111230082826948
14,"[-12.59025984970882, 9.089299462294987]",20140101,-0.0417941598862717
15,"[-10.587111971554519, 8.19949601360739]",20140101,-0.0057280360495292
16,"[-12.61660507579259, 8.076925787644932]",20140101,0.0033695803144961
17,"[-12.49706195783479, 8.230162092310179]",20140101,-0.018438090594071
18,"[-12.573494309259104, 8.580357190946753]",20140101,0.0028529436711597
19,"[-12.707428088596602, 8.598953092447799]",20140101,-0.004268703949454
20,"[-12.089248586010005, 9.480142060884234]",20140101,-0.0060329876631606
21,"[-12.05699453237849, 7.999454107609768]",20140101,-0.0077946682018259
22,"[-11.226703675916225, 9.262492630198462]",20140101,-0.024937313040361
23,"[-10.78400468577152, 8.378438005842337]",20140101,-0.0086265206198153
24,"[-11.805918636402556, 9.499720634073256]",20140101,-0.0348956458364925
25,"[-10.887620523538699, 8.172577202812947]",20140101,-0.0103039901734779
26,"[-12.730428074607604, 8.049076573686946]",20140101,-0.0075533504578618
27,"[-11.8134428614669, 9.98421783987528]",20140101,0.0344230548319539
28,"[-10.575168704391059, 8.149244131563044]",20140101,-0.0051558892788875
29,"[-11.170735802049734, 9.876640531917582]",20140101,0.0266589202526273
30,"[-12.234335298749723, 9.77762738759242]",20140101,-0.0111089975227361
31,"[-11.97472663002821, 9.662352475275908]",20140101,0.4932346090654597
32,"[-12.628056387400836, 9.2423913929165]",20140101,-0.0019812563681489
33,"[-12.400839372696801, 9.819530066736439]",20140101,-0.0359436648715701
34,"[-11.188472143413714, 7.579751726984244]",20140101,0.0036246524231084
35,"[-11.559250666995775, 8.813623237116962]",20140101,-0.0092728414431014
36,"[-12.615151135848231, 9.199556202139204]",20140101,-0.051325820037082
37,"[-11.446116702848288, 8.0829699523154]",20140101,0.0178979212239828
38,"[-11.767627597673389, 8.553376036923899]",20140101,-0.0076979029298034
39,"[-12.35344769763381, 9.692474184803153]",20140101,0.0040068488500672
40,"[-11.654718211832849, 9.692655021455097]",20140101,0.0473589439551883
41,"[-12.070012985284581, 9.874117197867227]",20140101,0.0156966231620996
42,"[-11.733995671765806, 9.920536043527445]",20140101,0.058201325028168
43,"[-11.486078247019988, 8.781629344780729]",20140101,0.02133274170677
44,"[-10.83180223715611, 7.990300789814084]",20140101,0.0189755167514147
45,"[-11.191434706468256, 8.846221803581065]",20140101,-0.0633935751543141
46,"[-10.906727774655725, 7.623412050939405]",20140101,0.0048672111066247
47,"[-11.225589156732275, 8.051514200776348]",20140101,0.0101951016109619
