id,center,image_date,image_value
0,"[-12.666320421819876, 9.004149531159928]",20140101,-0.0287247045550731
1,"[-13.23225905083299, 8.95923376696415]",20140101,-0.0358156362904244
2,"[-12.792084561613684, 8.941267461291122]",20140101,-0.0332310294276956
3,"[-13.124461216741897, 8.923301155597281]",20140101,-0.0587522113569404
4,"[-13.043612841166503, 8.923301155604603]",20140101,-0.0411965099330713
5,"[-13.23225905084012, 8.914318002754365]",20140101,-0.0614012388853814
6,"[-13.14242752241716, 8.905334849912931]",20140101,-0.046549855607746
7,"[-13.088528605379402, 8.84245278003203]",20140101,-0.0505044894286554
8,"[-12.95378131275941, 8.84245278002366]",20140101,-0.0424357248625437
9,"[-12.935815007084505, 8.842452780012373]",20140101,-0.0476610351732702
10,"[-12.96276446559519, 8.833469627186803]",20140101,-0.0544419531391559
11,"[-12.055466028685446, 8.51905927773385]",20140101,0.0075010252984802
12,"[-12.94479815997975, 8.258547845352313]",20140101,-0.0393671624213997
13,"[-12.055466028691816, 8.240581539665405]",20140101,0.0192943053481865
14,"[-12.944798159973324, 8.159733164099736]",20140101,-0.0353133834592082
15,"[-11.23799912014679, 8.132783705572672]",20140101,0.0326396356370483
16,"[-12.863949784393467, 8.087867941373343]",20140101,-0.0124303566524584
17,"[-12.819034020208475, 8.087867941376794]",20140101,0.0035300648777742
18,"[-12.100381792913568, 8.069901635684584]",20140101,-0.0045080835948746
19,"[-10.779858325253915, 8.060918482844635]",20140101,0.0104268430824124
20,"[-10.851723548002868, 7.989053260113526]",20140101,0.0346483954525871
21,"[-11.552409469607992, 7.890238578863231]",20140101,0.0129771389811301
22,"[-10.995453993464041, 7.890238578863123]",20140101,-0.0191899550678926
23,"[-12.468691059386448, 7.8093902033019535]",20140101,0.0308115642745328
24,"[-12.441741600869154, 7.773457591919722]",20140101,-0.0048904469800371
25,"[-12.405808989535196, 7.76447443908566]",20140101,0.1049617387253306
26,"[-11.911735583261247, 7.737524980562998]",20140101,0.0402232322182281
27,"[-12.423775295221285, 7.728541827713449]",20140101,-0.0028966682519173
28,"[-12.396825836693882, 7.719558674878638]",20140101,0.010853971161344
29,"[-12.306994308285407, 7.656676604990729]",20140101,0.1867494696150698
30,"[-13.043612841263386, 7.647693452148886]",20140101,-0.0294350912889807
31,"[-12.684286727620973, 7.638710299305395]",20140101,-0.0113681372524802
32,"[-12.630387810576774, 7.638710299317635]",20140101,-0.0250188748825012
33,"[-12.001567111681483, 7.620743993632853]",20140101,0.0163622771057136
34,"[-12.558522587852336, 7.6117608407887]",20140101,0.0035621766990034
35,"[-12.603438352042737, 7.602777687946637]",20140101,-0.0072679723483199
36,"[-12.531573129311692, 7.602777687945088]",20140101,-0.0006808132587434
37,"[-12.522589976472553, 7.557861923742937]",20140101,-0.0038238136659289
38,"[-12.387842683862766, 7.530912465216971]",20140101,-0.0293107893751252
39,"[-12.477674212277792, 7.521929312366954]",20140101,-0.0107688548277924
40,"[-12.567505740686972, 7.432097783962978]",20140101,-0.0137196402078397
41,"[-12.43275844807948, 7.4141314782702015]",20140101,-0.0218228110539441
42,"[-12.3339437668326, 7.378198866912815]",20140101,0.0067305838389178
43,"[-12.208179627045473, 7.360232561241698]",20140101,0.0334578467671721
44,"[-12.019533417392697, 7.252434727128357]",20140101,0.0073740845030327
